Date,Open,High,Low,Close,Volume
1999-03-10,44.1156,44.1425,43.3903,44.0609,12125940.292382
1999-03-11,44.3806,44.6346,43.4092,44.2691,22458151.552256
1999-03-12,44.1146,44.1415,42.8483,43.2,20264907.361269
1999-03-15,43.5178,44.4862,43.0586,44.4374,14763429.697531
1999-03-16,44.6277,45.0043,44.1415,44.819,11370064.180919
1999-03-17,44.815,44.8708,44.3557,44.4892,9190351.2232287
1999-03-18,44.4404,45.3829,44.4284,45.355,11237774.067631
1999-03-19,45.9508,45.9508,44.1674,44.1983,16595941.707809
1999-03-22,44.3786,44.4852,43.5687,43.6503,11647808.276994
1999-03-23,43.4122,43.5716,42.0393,42.1191,25409264.251271
1999-03-24,42.5017,43.5756,41.852,43.5507,19577155.152712
1999-03-25,44.2212,45.1338,43.9333,45.1338,18853798.767352
1999-03-26,44.7612,45.2723,44.4643,44.6506,19136925.847194
1999-03-29,45.1916,46.2974,44.9216,46.2726,11853134.529355
1999-03-30,46.2148,46.5924,45.7515,45.9448,11452599.585025
1999-03-31,46.701,46.7508,45.1318,45.2693,19139161.145507
1999-04-01,46.5974,46.6502,45.4616,46.2208,20201433.721983
1999-04-05,46.966,47.9592,46.6791,47.8906,13205309.33772
1999-04-06,47.8288,48.5063,47.4283,47.9822,17437326.260467
1999-04-07,48.4255,48.5321,46.4549,47.4811,27639284.971298
1999-04-08,47.3994,48.0918,46.427,47.8626,18433080.896005
1999-04-09,47.776,48.2592,47.6415,48.1516,11466906.698697
1999-04-12,47.0257,48.1576,46.9709,47.8338,25342660.993603
1999-04-13,48.1326,48.2402,46.8106,47.1901,23089383.936843
1999-04-14,47.784,47.8348,45.3131,45.5741,49260067.87954
1999-04-15,45.7276,46.2656,44.1117,46.1928,40911693.407444
1999-04-16,46.0793,46.0793,44.5958,44.8459,40038190.619176
1999-04-19,45.1328,45.5135,42.2845,42.7348,45110146.72881
1999-04-20,42.5465,44.0569,42.1469,43.7061,40363273.455401
1999-04-21,44.1077,45.888,43.5168,45.8601,25360397.8398
1999-04-22,46.2964,47.2409,45.9916,47.1105,31594421.002526
1999-04-23,46.8594,48.0808,46.3782,47.7242,16374182.449623
1999-04-26,48.048,49.1837,47.8986,48.8271,12565088.58475
1999-04-27,49.1847,49.4268,47.4691,48.0818,38203969.26313
1999-04-28,47.6774,47.8358,46.2298,46.432,17792306.086156
1999-04-29,46.2158,46.4808,45.082,46.0504,44385447.357756
1999-04-30,46.705,46.9451,44.7044,46.3532,35452434.476361
1999-05-03,46.2188,46.4021,45.3361,46.1062,25750922.622446
1999-05-04,46.1909,46.9162,45.1079,45.3809,35762734.432681
1999-05-05,45.4068,46.7528,44.0299,46.7528,29304808.052543
1999-05-06,46.3274,46.7339,44.6267,45.0601,35167445.484364
1999-05-07,45.4616,45.8402,44.4902,45.7067,38082267.457833
1999-05-10,45.9956,46.4698,45.4586,46.165,24579833.074277
1999-05-11,46.5336,47.1333,46.2706,46.8873,20400479.659327
1999-05-12,47.1105,48.023,45.7266,47.8626,28991238.959894
1999-05-13,48.2372,48.3219,46.7558,46.97,22862976.42249
1999-05-14,46.0514,46.5954,45.7266,46.0773,28291211.179553
